alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_type,damage,device_condition,first_crash_type,hit_and_run_i,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,injuries_total,injuries_unknown,latitude,lighting_condition,longitude,most_severe_injury,num_units,posted_speed_limit,prim_contributory_cause,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_no,traffic_control_device,trafficway_type,weather_condition,crash_date_est_i,intersection_related_i,work_zone_i,dooring_i,private_property_i,veh_count,ppl_count,veh_first_contact_point_list_json,veh_make_list_json,veh_maneuver_list_json,veh_model_list_json,veh_towed_i_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_ejection_list_json,ppl_injury_classification_list_json,year,month,day,hour,is_weekend,hour_bin,lat_bin,lng_bin,grid_id,veh_truck_i,veh_mc_i,ppl_age_mean,ppl_age_min,ppl_age_max,cause_group
STRAIGHT AND LEVEL,834,2025-09-19 17:35:00,6,17,9,no injury / drive away,"$501 - $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.7380328,daylight,-87.7213957409,NO INDICATION OF INJURY,2,30,IMPROPER OVERTAKING/PASSING,NO DEFECTS,dry,UNABLE TO DETERMINE,S,8515,no controls,NOT DIVIDED,clear,,,,,,4,1,"[""FRONT-LEFT-CORNER"", ""FRONT-RIGHT-CORNER""]","[""CHRYSLER"", ""JEEP""]","[""PASSING/OVERTAKING"", ""STRAIGHT AHEAD""]","[""GRAND CHEROKEE"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""34""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,17,0,afternoon,41.74,-87.72,41.74_-87.72,0,0,34.0,34.0,34.0,Other
STRAIGHT AND LEVEL,1524,2025-09-19 17:40:00,6,17,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.9020979225,daylight,-87.759600383,NO INDICATION OF INJURY,2,30,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",,dry,NOT APPLICABLE,W,5335,no controls,DIVIDED - W/MEDIAN (NOT RAISED),clear,,,,,,4,0,"[""REAR-LEFT-CORNER"", ""UNKNOWN""]","[""NISSAN"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""ROGUE""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,17,0,afternoon,41.9,-87.76,41.9_-87.76,0,0,,,,Other
STRAIGHT AND LEVEL,1712,2025-09-21 20:11:00,1,20,9,no injury / drive away,"$501 - $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.9703821959,"darkness, lighted road",-87.7328784657,NO INDICATION OF INJURY,2,30,FAILING TO REDUCE SPEED TO AVOID CRASH,NO DEFECTS,dry,FAILING TO REDUCE SPEED TO AVOID CRASH,N,4911,no controls,ONE-WAY,clear,,,,,,4,1,"[""SIDE-LEFT"", ""SIDE-RIGHT""]","[""DODGE"", ""FORD""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""F150"", ""RAM 1500 PU""]",[],"[""59""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,20,1,evening,41.97,-87.73,41.97_-87.73,0,0,59.0,59.0,59.0,Speeding
STRAIGHT AND LEVEL,2522,2025-09-23 10:00:00,3,10,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.9187270738,,-87.7397310745,NO INDICATION OF INJURY,2,35,UNABLE TO DETERMINE,,,UNABLE TO DETERMINE,W,4521,no controls,ONE-WAY,,,,,,,4,0,"[""FRONT"", ""UNKNOWN""]","[""TOYOTA"", ""UNKNOWN""]","[""BACKING"", ""PARKED""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""RAV4""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,23,10,0,morning,41.92,-87.74,41.92_-87.74,0,0,,,,Other
STRAIGHT AND LEVEL,431,2025-09-20 16:46:00,7,16,9,no injury / drive away,$500 OR LESS,NO CONTROLS,TURNING,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41.722375907,daylight,-87.5754999033,NO INDICATION OF INJURY,2,30,TURNING RIGHT ON RED,NO DEFECTS,dry,NOT APPLICABLE,S,9500,no controls,OTHER,clear,,,,,,4,1,"[""REAR"", ""UNKNOWN""]","[""FORD"", ""UNKNOWN""]","[""TURNING RIGHT""]","[""MUSTANG"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""21""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,20,16,1,afternoon,41.72,-87.58,41.72_-87.58,0,0,21.0,21.0,21.0,Other
STRAIGHT AND LEVEL,1925,2025-09-20 19:00:00,7,19,9,injury and / or tow due to crash,"OVER $1,500",FUNCTIONING PROPERLY,PEDESTRIAN,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,41.9436609963,darkness,-87.645183607,NONINCAPACITATING INJURY,3,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,wet,FAILING TO YIELD RIGHT-OF-WAY,N,3406,traffic signal,NOT DIVIDED,rain,,,,,,2,2,"[""FRONT""]","[""UNKNOWN""]","[""TURNING LEFT""]","[""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""20"", ""29""]","[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY"", ""REPORTED, NOT EVIDENT""]",2025,9,20,19,1,evening,41.94,-87.65,41.94_-87.65,0,0,24.5,20.0,29.0,Failure-to-Yield
STRAIGHT AND LEVEL,835,2025-09-19 18:45:00,6,18,9,no injury / drive away,"$501 - $1,500",NO CONTROLS,ANGLE,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41.7605809995,daylight,-87.7101857062,NO INDICATION OF INJURY,2,30,NOT APPLICABLE,NO DEFECTS,dry,NOT APPLICABLE,S,7300,no controls,NOT DIVIDED,clear,,,,,,4,1,"[""FRONT"", ""SIDE-RIGHT""]","[""CHEVROLET"", ""JEEP""]","[""STRAIGHT AHEAD""]","[""AVEO"", ""WRANGLER""]",[],"[""70""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,18,0,afternoon,41.76,-87.71,41.76_-87.71,0,0,70.0,70.0,70.0,Other
STRAIGHT AND LEVEL,2532,2025-09-21 22:11:00,1,22,9,injury and / or tow due to crash,"OVER $1,500",FUNCTIONING PROPERLY,REAR END,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.9023413257,darkness,-87.7573139798,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,,,NOT APPLICABLE,W,5236,traffic signal,NOT DIVIDED,,,,,,,4,1,"[""FRONT-RIGHT-CORNER"", ""REAR-LEFT-CORNER""]","[""TOYOTA"", ""UNKNOWN""]","[""STRAIGHT AHEAD"", ""UNKNOWN/NA""]","[""CAMRY"", ""MOTORIZED""]","[""Y""]","[""29""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,22,1,evening,41.9,-87.76,41.9_-87.76,0,1,29.0,29.0,29.0,Other
STRAIGHT AND LEVEL,724,2025-09-21 23:10:00,1,23,9,no injury / drive away,$500 OR LESS,NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.7795682243,,-87.6510033885,NO INDICATION OF INJURY,2,25,UNABLE TO DETERMINE,,,UNABLE TO DETERMINE,S,6300,no controls,NOT DIVIDED,,,,,,,4,0,"[""SIDE-RIGHT-FRONT"", ""UNKNOWN""]","[""CHEVROLET"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""MALIBU"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,21,23,1,evening,41.78,-87.65,41.78_-87.65,0,0,,,,Other
STRAIGHT AND LEVEL,433,2025-09-19 01:34:00,6,1,9,injury and / or tow due to crash,"OVER $1,500",,OTHER OBJECT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.6464515393,"darkness, lighted road",-87.5402285328,NO INDICATION OF INJURY,1,30,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,S,13660,no controls,DIVIDED - W/MEDIAN (NOT RAISED),clear,1.0,,,,,2,0,"[""FRONT""]","[""KIA""]","[""UNKNOWN/NA""]","[""OPTIMA / K5""]","[""Y""]",[],"[""DEPLOYED, FRONT""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,19,1,0,night,41.65,-87.54,41.65_-87.54,0,0,,,,Other
STRAIGHT AND LEVEL,834,2025-09-22 12:45:00,2,12,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.7352740895,daylight,-87.7035112835,NO INDICATION OF INJURY,2,15,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,W,3250,no controls,PARKING LOT,clear,,,,,,4,0,"[""REAR-RIGHT-CORNER"", ""UNKNOWN""]","[""FORD"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""MOTORIZED"", ""TRANSIT""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,22,12,0,morning,41.74,-87.7,41.74_-87.7,0,1,,,,Other
STRAIGHT AND LEVEL,1834,2025-09-20 12:15:00,7,12,9,no injury / drive away,$500 OR LESS,NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.895296419,daylight,-87.6154605904,NO INDICATION OF INJURY,2,30,IMPROPER LANE USAGE,NO DEFECTS,dry,NOT APPLICABLE,N,705,no controls,DIVIDED - W/MEDIAN BARRIER,clear,,,,,,4,1,"[""SIDE-LEFT"", ""SIDE-RIGHT""]","[""KIA"", ""MITSUBISHI""]","[""STRAIGHT AHEAD""]","[""FORTE"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""54""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,20,12,1,morning,41.9,-87.62,41.9_-87.62,0,0,54.0,54.0,54.0,Other
STRAIGHT AND LEVEL,2234,2025-09-24 17:10:00,4,17,9,injury and / or tow due to crash,"OVER $1,500",,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,41.6809617192,daylight,-87.6626006009,NONINCAPACITATING INJURY,3,10,UNABLE TO DETERMINE,,other,UNABLE TO DETERMINE,S,11710,,OTHER,clear,,,,,1.0,5,2,"[""FRONT-RIGHT-CORNER"", ""UNKNOWN""]","[""DODGE"", ""FORD"", ""LINCOLN""]","[""PARKED"", ""UNKNOWN/NA""]","[""FUSION"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""Y""]","[""14"", ""29""]","[""DEPLOYED, COMBINATION"", ""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]",2025,9,24,17,0,afternoon,41.68,-87.66,41.68_-87.66,0,0,21.5,14.0,29.0,Other
STRAIGHT AND LEVEL,2513,2025-09-19 18:28:00,6,18,9,injury and / or tow due to crash,"OVER $1,500",FUNCTIONING PROPERLY,PEDALCYCLIST,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,41.9127257832,daylight,-87.7811195738,"REPORTED, NOT EVIDENT",2,15,FAILING TO YIELD RIGHT-OF-WAY,,dry,NOT APPLICABLE,W,6221,stop sign/flasher,NOT DIVIDED,clear,,1.0,,0.0,,2,1,"[""UNKNOWN""]","[""TOYOTA""]","[""STRAIGHT AHEAD""]","[""AVALON""]",[],"[""11""]","[""DEPLOYMENT UNKNOWN""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]",2025,9,19,18,0,afternoon,41.91,-87.78,41.91_-87.78,0,0,11.0,11.0,11.0,Failure-to-Yield
STRAIGHT AND LEVEL,531,2025-09-23 17:00:00,3,17,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.6927233639,daylight,-87.6045058667,NO INDICATION OF INJURY,2,10,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,E,727,no controls,PARKING LOT,clear,,,,,,4,0,"[""FRONT-LEFT-CORNER"", ""UNKNOWN""]","[""TOYOTA"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""CAMRY"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,23,17,0,afternoon,41.69,-87.6,41.69_-87.6,0,0,,,,Other
STRAIGHT AND LEVEL,1021,2025-09-22 04:00:00,2,4,9,no injury / drive away,"$501 - $1,500",NO CONTROLS,FIXED OBJECT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.8599550731,"darkness, lighted road",-87.7117244903,NO INDICATION OF INJURY,1,20,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,S,1528,no controls,ALLEY,clear,,,,,,2,0,"[""FRONT""]","[""JEEP""]","[""UNKNOWN/NA""]","[""COMPASS""]",[],[],"[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,22,4,0,night,41.86,-87.71,41.86_-87.71,0,0,,,,Other
STRAIGHT AND LEVEL,332,2025-09-19 09:15:00,6,9,9,injury and / or tow due to crash,"OVER $1,500",FUNCTIONING PROPERLY,REAR END,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,41.7732928959,daylight,-87.5864423683,NONINCAPACITATING INJURY,2,30,FOLLOWING TOO CLOSELY,NO DEFECTS,dry,FOLLOWING TOO CLOSELY,S,6700,traffic signal,NOT DIVIDED,clear,,,,,,4,1,"[""FRONT-LEFT-CORNER"", ""REAR-LEFT-CORNER""]","[""NISSAN"", ""UNKNOWN""]","[""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""SENTRA""]",[],"[""33""]","[""DID NOT DEPLOY"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]",2025,9,19,9,0,morning,41.77,-87.59,41.77_-87.59,0,0,33.0,33.0,33.0,Following Too Closely
STRAIGHT AND LEVEL,1111,2025-09-22 08:20:00,2,8,9,no injury / drive away,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.9025602538,daylight,-87.7263594668,NO INDICATION OF INJURY,2,35,UNABLE TO DETERMINE,,dry,UNABLE TO DETERMINE,W,4001,no controls,NOT DIVIDED,clear,,,,,,4,1,"[""SIDE-LEFT"", ""SIDE-RIGHT-REAR""]","[""NISSAN"", ""UNKNOWN""]","[""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""ROGUE""]",[],"[""39""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,22,8,0,morning,41.9,-87.73,41.9_-87.73,0,0,39.0,39.0,39.0,Other
STRAIGHT AND LEVEL,331,2025-09-21 20:07:00,1,20,9,no injury / drive away,"OVER $1,500",FUNCTIONING PROPERLY,TURNING,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.775307524,"darkness, lighted road",-87.5753109171,NO INDICATION OF INJURY,2,30,DISREGARDING TRAFFIC SIGNALS,NO DEFECTS,dry,NOT APPLICABLE,S,6600,traffic signal,FOUR WAY,clear,,1.0,,,,4,1,"[""FRONT"", ""SIDE-RIGHT""]","[""CHEVROLET"", ""TOYOTA""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]","[""CRUZE"", ""PRIUS""]",[],"[""75""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,20,1,evening,41.78,-87.58,41.78_-87.58,0,0,75.0,75.0,75.0,Other
STRAIGHT AND LEVEL,735,2025-09-21 09:30:00,1,9,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.7677082511,daylight,-87.6652541934,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,wet,NOT APPLICABLE,S,6926,no controls,NOT DIVIDED,clear,,,,,,4,0,"[""FRONT""]","[""KIA"", ""UNKNOWN""]","[""DRIVING WRONG WAY"", ""PARKED""]","[""ENCLOSED BODY"", ""FORTE""]",[],[],"[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,9,1,morning,41.77,-87.67,41.77_-87.67,0,0,,,,Other
STRAIGHT AND LEVEL,823,2025-09-24 15:00:00,4,15,9,injury and / or tow due to crash,"OVER $1,500",NO CONTROLS,ANGLE,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,41.778987189,daylight,-87.7088638153,"REPORTED, NOT EVIDENT",2,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,dry,NOT APPLICABLE,W,3420,no controls,NOT DIVIDED,clear,,,,,,4,0,"[""SIDE-RIGHT""]","[""BUICK"", ""FORD""]","[""STRAIGHT AHEAD""]","[""F150"", ""LESABRE""]",[],[],"[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]",2025,9,24,15,0,afternoon,41.78,-87.71,41.78_-87.71,0,0,,,,Failure-to-Yield
STRAIGHT AND LEVEL,2524,2025-09-22 15:12:00,2,15,9,no injury / drive away,"OVER $1,500",FUNCTIONING PROPERLY,REAR END,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.9244510103,daylight,-87.7386288719,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,,dry,NOT APPLICABLE,W,4450,traffic signal,NOT DIVIDED,clear,,,,,,4,1,"[""FRONT"", ""REAR""]","[""ACURA"", ""GENERAL MOTORS CORPORATION (GMC)""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]","[""ADX"", ""YUKON""]",[],"[""29""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,22,15,0,afternoon,41.92,-87.74,41.92_-87.74,0,1,29.0,29.0,29.0,Other
STRAIGHT AND LEVEL,2535,2025-09-21 05:30:00,1,5,9,injury and / or tow due to crash,$500 OR LESS,NO CONTROLS,PEDESTRIAN,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,41.9171388511,"darkness, lighted road",-87.7195924632,"REPORTED, NOT EVIDENT",3,30,IMPROPER OVERTAKING/PASSING,NO DEFECTS,dry,NOT APPLICABLE,W,3709,no controls,DIVIDED - W/MEDIAN (NOT RAISED),clear,,,,,,2,1,"[""UNKNOWN""]","[""UNKNOWN""]","[""PASSING/OVERTAKING""]","[""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""44""]","[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]",2025,9,21,5,1,night,41.92,-87.72,41.92_-87.72,0,0,44.0,44.0,44.0,Other
STRAIGHT AND LEVEL,911,2025-09-19 17:00:00,6,17,9,no injury / drive away,"OVER $1,500",NO CONTROLS,REAR END,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41.8254301434,dawn,-87.6855197917,NO INDICATION OF INJURY,3,30,UNABLE TO DETERMINE,NO DEFECTS,dry,NOT APPLICABLE,S,3743,no controls,NOT DIVIDED,clear,,,,,,5,2,"[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT"", ""SIDE-RIGHT""]","[""CADILLAC"", ""FORD"", ""HONDA""]","[""STRAIGHT AHEAD""]","[""CIVIC"", ""CT6"", ""EXPLORER""]",[],"[""27"", ""75""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,19,17,0,afternoon,41.83,-87.69,41.83_-87.69,0,0,51.0,27.0,75.0,Other
STRAIGHT AND LEVEL,422,2025-09-19 08:16:00,6,8,9,no injury / drive away,"OVER $1,500",NO CONTROLS,TURNING,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.751723371,daylight,-87.5586996353,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,E,2705,no controls,NOT DIVIDED,clear,,,,,,4,1,"[""REAR-LEFT-CORNER"", ""UNKNOWN""]","[""TOYOTA"", ""UNKNOWN""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""TACOMA""]",[],"[""24""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,8,0,morning,41.75,-87.56,41.75_-87.56,0,0,24.0,24.0,24.0,Other
STRAIGHT AND LEVEL,234,2025-09-20 03:15:00,7,3,9,no injury / drive away,"OVER $1,500",,REAR TO SIDE,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.8023797296,,-87.5879794066,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,,,NOT APPLICABLE,S,5100,,,,,,,,,4,1,"[""FRONT-LEFT-CORNER"", ""REAR-LEFT-CORNER""]","[""LINCOLN"", ""UNKNOWN""]","[""UNKNOWN/NA""]","[""ENGINE"", ""MKZ""]",[],"[""42""]","[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,20,3,1,night,41.8,-87.59,41.8_-87.59,0,0,42.0,42.0,42.0,Other
STRAIGHT AND LEVEL,1713,2025-09-20 07:30:00,7,7,9,no injury / drive away,"$501 - $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.9701539337,daylight,-87.7092628152,NO INDICATION OF INJURY,3,25,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,W,3217,no controls,ONE-WAY,clear,1.0,,,,,4,0,"[""SIDE-LEFT"", ""UNKNOWN""]","[""HONDA"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""CR-V"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,20,7,1,morning,41.97,-87.71,41.97_-87.71,0,0,,,,Other
STRAIGHT AND LEVEL,423,2025-09-24 16:55:00,4,16,9,no injury / drive away,"$501 - $1,500",FUNCTIONING PROPERLY,REAR END,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.7319162347,daylight,-87.5610178152,NO INDICATION OF INJURY,2,30,FOLLOWING TOO CLOSELY,NO DEFECTS,dry,UNABLE TO DETERMINE,S,9001,stop sign/flasher,NOT DIVIDED,clear,,,,,,4,1,"[""FRONT"", ""REAR-RIGHT-CORNER""]","[""BUICK"", ""HONDA""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]","[""ODYSSEY"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""68""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,24,16,0,afternoon,41.73,-87.56,41.73_-87.56,0,0,68.0,68.0,68.0,Following Too Closely
STRAIGHT AND LEVEL,2432,2025-09-23 13:20:00,3,13,9,injury and / or tow due to crash,"OVER $1,500",NO CONTROLS,PEDESTRIAN,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,41.9999880148,daylight,-87.6710944899,NONINCAPACITATING INJURY,2,15,UNABLE TO DETERMINE,,dry,UNABLE TO DETERMINE,N,6501,no controls,PARKING LOT,clear,,,,,1.0,2,1,"[""UNKNOWN""]","[""TOYOTA""]","[""UNKNOWN/NA""]","[""C-HR""]",[],"[""65""]","[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]",2025,9,23,13,0,afternoon,42.0,-87.67,42.0_-87.67,0,0,65.0,65.0,65.0,Other
STRAIGHT AND LEVEL,924,2025-09-20 17:00:00,7,17,9,injury and / or tow due to crash,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.8102754412,"darkness, lighted road",-87.669058788,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,wet,UNABLE TO DETERMINE,W,1741,school zone,NOT DIVIDED,cloudy/overcast,1.0,,,,,4,0,"[""SIDE-LEFT-REAR"", ""UNKNOWN""]","[""FORD"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""EXPLORER"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""Y""]",[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,20,17,1,afternoon,41.81,-87.67,41.81_-87.67,0,0,,,,Other
STRAIGHT AND LEVEL,1612,2025-09-23 14:35:00,3,14,9,no injury / drive away,"$501 - $1,500",NO CONTROLS,ANGLE,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.9963972701,daylight,-87.8060578492,NO INDICATION OF INJURY,2,35,UNABLE TO DETERMINE,NO DEFECTS,dry,NOT APPLICABLE,N,6332,no controls,NOT DIVIDED,clear,,,,,,4,0,"[""SIDE-RIGHT"", ""UNKNOWN""]","[""CHEVROLET"", ""HONDA""]","[""STRAIGHT AHEAD""]","[""EQUINOX"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],[],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,23,14,0,afternoon,42.0,-87.81,42.0_-87.81,0,0,,,,Other
